X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
-0.4300	-0.7914	2.2065	2.7778	-1.0216
-0.4200	-0.7585	2.1350	2.6706	-0.9823
-0.4100	-0.7261	2.0671	2.5684	-0.9433
-0.4000	-0.6944	2.0025	2.4711	-0.9047
-0.3900	-0.6633	1.9411	2.3784	-0.8664
-0.3800	-0.6327	1.8828	2.2901	-0.8286
-0.3700	-0.6029	1.8273	2.2060	-0.7912
-0.3600	-0.5736	1.7747	2.1261	-0.7543
-0.3500	-0.5450	1.7246	2.0501	-0.7179
-0.3400	-0.5170	1.6771	1.9778	-0.6820
-0.3300	-0.4897	1.6319	1.9091	-0.6466
-0.3200	-0.4631	1.5890	1.8439	-0.6119
-0.3100	-0.4372	1.5483	1.7820	-0.5777
-0.3000	-0.4119	1.5097	1.7232	-0.5442
-0.2900	-0.3873	1.4730	1.6675	-0.5113
-0.2800	-0.3635	1.4383	1.6147	-0.4791
-0.2700	-0.3403	1.4053	1.5647	-0.4477
-0.2600	-0.3178	1.3741	1.5173	-0.4169
-0.2500	-0.2961	1.3446	1.4725	-0.3870
-0.2400	-0.2751	1.3166	1.4302	-0.3578
-0.2300	-0.2548	1.2902	1.3902	-0.3294
-0.2200	-0.2353	1.2652	1.3524	-0.3019
-0.2100	-0.2165	1.2417	1.3169	-0.2752
-0.2000	-0.1984	1.2195	1.2834	-0.2495
-0.1900	-0.1811	1.1985	1.2519	-0.2246
-0.1800	-0.1646	1.1789	1.2223	-0.2007
-0.1700	-0.1488	1.1604	1.1945	-0.1778
-0.1600	-0.1337	1.1431	1.1686	-0.1558
-0.1500	-0.1195	1.1269	1.1443	-0.1348
-0.1400	-0.1060	1.1118	1.1217	-0.1149
-0.1300	-0.0933	1.0978	1.1007	-0.0960
-0.1200	-0.0814	1.0848	1.0813	-0.0781
-0.1100	-0.0703	1.0728	1.0633	-0.0614
-0.1000	-0.0599	1.0617	1.0468	-0.0457
-0.0900	-0.0503	1.0516	1.0317	-0.0312
-0.0800	-0.0416	1.0424	1.0179	-0.0178
-0.0700	-0.0336	1.0341	1.0055	-0.0055
-0.0600	-0.0264	1.0267	0.9944	0.0056
-0.0500	-0.0200	1.0202	0.9846	0.0156
-0.0400	-0.0144	1.0145	0.9760	0.0243
-0.0300	-0.0096	1.0096	0.9686	0.0319
-0.0200	-0.0056	1.0056	0.9624	0.0383
-0.0100	-0.0024	1.0024	0.9574	0.0435
0.0000	0.0000	1.0000	0.9536	0.0475
0.0100	0.0016	0.9984	0.9509	0.0503
0.0200	0.0024	0.9976	0.9494	0.0519
0.0300	0.0024	0.9976	0.9490	0.0523
0.0400	0.0016	0.9984	0.9498	0.0515
0.0500	0.0000	1.0000	0.9517	0.0495
0.0600	-0.0024	1.0024	0.9547	0.0464
0.0700	-0.0056	1.0056	0.9589	0.0420
0.0800	-0.0096	1.0096	0.9642	0.0364
0.0900	-0.0143	1.0144	0.9707	0.0297
0.1000	-0.0199	1.0201	0.9784	0.0218
0.1100	-0.0263	1.0266	0.9873	0.0128
0.1200	-0.0334	1.0340	0.9974	0.0026
0.1300	-0.0413	1.0422	1.0087	-0.0087
0.1400	-0.0500	1.0513	1.0213	-0.0211
0.1500	-0.0595	1.0613	1.0351	-0.0345
0.1600	-0.0697	1.0722	1.0503	-0.0491
0.1700	-0.0808	1.0841	1.0668	-0.0647
0.1800	-0.0926	1.0970	1.0847	-0.0813
0.1900	-0.1051	1.1108	1.1040	-0.0989
0.2000	-0.1184	1.1257	1.1247	-0.1176
0.2100	-0.1325	1.1416	1.1470	-0.1371
0.2200	-0.1473	1.1587	1.1708	-0.1577
0.2300	-0.1628	1.1768	1.1962	-0.1791
0.2400	-0.1791	1.1961	1.2232	-0.2015
0.2500	-0.1961	1.2166	1.2519	-0.2247
0.2600	-0.2138	1.2384	1.2824	-0.2488
0.2700	-0.2323	1.2615	1.3148	-0.2736
0.2800	-0.2515	1.2859	1.3490	-0.2993
0.2900	-0.2713	1.3117	1.3851	-0.3258
0.3000	-0.2919	1.3390	1.4233	-0.3530
0.3100	-0.3132	1.3677	1.4636	-0.3809
0.3200	-0.3351	1.3981	1.5060	-0.4095
0.3300	-0.3577	1.4301	1.5507	-0.4387
0.3400	-0.3810	1.4638	1.5978	-0.4686
0.3500	-0.4050	1.4993	1.6472	-0.4991
0.3600	-0.4296	1.5366	1.6992	-0.5302
0.3700	-0.4549	1.5760	1.7538	-0.5618
0.3800	-0.4807	1.6173	1.8111	-0.5939
0.3900	-0.5073	1.6607	1.8712	-0.6266
0.4000	-0.5344	1.7064	1.9342	-0.6597
0.4100	-0.5621	1.7544	2.0001	-0.6932
0.4200	-0.5905	1.8049	2.0692	-0.7272
0.4300	-0.6194	1.8578	2.1416	-0.7615
0.4400	-0.6489	1.9135	2.2172	-0.7963
0.4500	-0.6790	1.9719	2.2963	-0.8313
0.4600	-0.7096	2.0332	2.3789	-0.8667
0.4700	-0.7408	2.0976	2.4653	-0.9023
0.4800	-0.7725	2.1652	2.5553	-0.9382
0.4900	-0.8048	2.2361	2.6493	-0.9743
0.5000	-0.8375	2.3106	2.7473	-1.0106
0.5100	-0.8707	2.3887	2.8495	-1.0471
0.5200	-0.9045	2.4707	2.9559	-1.0838
0.5300	-0.9387	2.5566	3.0666	-1.1206
0.5400	-0.9734	2.6468	3.1818	-1.1575
0.5500	-1.0085	2.7415	3.3017	-1.1944
0.5600	-1.0441	2.8407	3.4262	-1.2314
0.5700	-1.0800	2.9448	3.5555	-1.2685
0.5800	-1.1164	3.0539	3.6897	-1.3055
0.5900	-1.1532	3.1684	3.8289	-1.3426
0.6000	-1.1904	3.2884	3.9732	-1.3796
0.6100	-1.2279	3.4142	4.1226	-1.4165
0.6200	-1.2658	3.5461	4.2773	-1.4533
0.6300	-1.3041	3.6843	4.4373	-1.4901
0.6400	-1.3426	3.8291	4.6027	-1.5266
0.6500	-1.3815	3.9808	4.7736	-1.5631
0.6600	-1.4207	4.1398	4.9499	-1.5994
0.6700	-1.4601	4.3063	5.1316	-1.6354
0.6800	-1.4998	4.4807	5.3190	-1.6713
0.6900	-1.5397	4.6633	5.5118	-1.7069
0.7000	-1.5799	4.8545	5.7101	-1.7422
0.7100	-1.6203	5.0545	5.9139	-1.7773
0.7200	-1.6609	5.2638	6.1232	-1.8121
0.7300	-1.7016	5.4828	6.3379	-1.8465
0.7400	-1.7425	5.7118	6.5579	-1.8807
0.7500	-1.7836	5.9512	6.7831	-1.9144
0.7600	-1.8248	6.2014	7.0134	-1.9478
0.7700	-1.8661	6.4628	7.2487	-1.9808
0.7800	-1.9074	6.7359	7.4888	-2.0134
0.7900	-1.9489	7.0210	7.7336	-2.0456
0.8000	-1.9904	7.3185	7.9829	-2.0773
0.8100	-2.0319	7.6288	8.2365	-2.1086
0.8200	-2.0735	7.9524	8.4941	-2.1394
0.8300	-2.1150	8.2897	8.7555	-2.1697
0.8400	-2.1565	8.6411	9.0204	-2.1995
0.8500	-2.1980	9.0069	9.2886	-2.2288
0.8600	-2.2394	9.3876	9.5597	-2.2576
0.8700	-2.2807	9.7835	9.8333	-2.2858
0.8800	-2.3219	10.1951	10.1092	-2.3134
0.8900	-2.3630	10.6225	10.3870	-2.3406
0.9000	-2.4039	11.0663	10.6663	-2.3671
0.9100	-2.4447	11.5265	10.9467	-2.3930
0.9200	-2.4852	12.0036	11.2277	-2.4184
0.9300	-2.5255	12.4977	11.5091	-2.4431
0.9400	-2.5657	13.0091	11.7902	-2.4673
0.9500	-2.6055	13.5379	12.0708	-2.4908
0.9600	-2.6451	14.0842	12.3502	-2.5137
0.9700	-2.6843	14.6480	12.6282	-2.5359
0.9800	-2.7232	15.2295	12.9041	-2.5575
0.9900	-2.7618	15.8284	13.1776	-2.5785
1.0000	-2.8000	16.4446	13.4481	-2.5988
1.0100	-2.8378	17.0781	13.7153	-2.6185
1.0200	-2.8752	17.7284	13.9786	-2.6375
1.0300	-2.9121	18.3952	14.2377	-2.6559
1.0400	-2.9485	19.0781	14.4920	-2.6736
1.0500	-2.9845	19.7765	14.7411	-2.6906
1.0600	-3.0199	20.4897	14.9847	-2.7070
1.0700	-3.0548	21.2170	15.2222	-2.7228
1.0800	-3.0891	21.9575	15.4534	-2.7378
1.0900	-3.1228	22.7103	15.6779	-2.7522
1.1000	-3.1559	23.4742	15.8952	-2.7660
1.1100	-3.1883	24.2479	16.1051	-2.7791
1.1200	-3.2201	25.0301	16.3073	-2.7916
1.1300	-3.2511	25.8194	16.5014	-2.8034
1.1400	-3.2814	26.6141	16.6873	-2.8146
1.1500	-3.3110	27.4124	16.8646	-2.8252
1.1600	-3.3398	28.2124	17.0332	-2.8352
1.1700	-3.3677	29.0121	17.1928	-2.8445
1.1800	-3.3948	29.8094	17.3433	-2.8532
1.1900	-3.4211	30.6019	17.4847	-2.8613
1.2000	-3.4464	31.3872	17.6166	-2.8688
1.2100	-3.4708	32.1628	17.7391	-2.8758
1.2200	-3.4943	32.9261	17.8520	-2.8821
1.2300	-3.5167	33.6743	17.9554	-2.8879
1.2400	-3.5382	34.4045	18.0492	-2.8931
1.2500	-3.5586	35.1138	18.1333	-2.8977
1.2600	-3.5779	35.7992	18.2078	-2.9018
1.2700	-3.5962	36.4577	18.2727	-2.9054
1.2800	-3.6132	37.0862	18.3280	-2.9084
1.2900	-3.6292	37.6816	18.3738	-2.9109
1.3000	-3.6439	38.2407	18.4102	-2.9129
1.3100	-3.6574	38.7605	18.4371	-2.9144
1.3200	-3.6696	39.2379	18.4547	-2.9153
1.3300	-3.6806	39.6699	18.4631	-2.9158
1.3400	-3.6902	40.0537	18.4623	-2.9157
1.3500	-3.6985	40.3864	18.4525	-2.9152
1.3600	-3.7054	40.6655	18.4338	-2.9142
1.3700	-3.7108	40.8884	18.4062	-2.9127
1.3800	-3.7149	41.0529	18.3699	-2.9107
1.3900	-3.7174	41.1568	18.3249	-2.9083
1.4000	-3.7184	41.1984	18.2715	-2.9053
1.4100	-3.7179	41.1761	18.2096	-2.9019
1.4200	-3.7157	41.0886	18.1393	-2.8981
1.4300	-3.7120	40.9349	18.0609	-2.8937
