#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.05 0.05]
#! SET kt 1.0
37100 318 2066 313 1644
37200 318 2071 313 1649
37300 318 2077 314 1653
37400 320 2084 314 1656
37500 322 2092 315 1658
37600 322 2096 316 1664
37700 323 2101 316 1669
37800 324 2107 317 1673
37900 325 2114 319 1676
38000 326 2119 319 1681
38100 328 2126 321 1684
