#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
30500 1080 148450 1244 156550
30600 1081 148963 1244 157037
30700 1081 149469 1244 157531
30800 1082 150039 1244 157961
30900 1084 150373 1245 158627
31000 1085 150945 1246 159055
31100 1086 151286 1247 159714
31200 1089 151815 1247 160185
31300 1090 152288 1247 160712
31400 1093 152775 1248 161225
31500 1096 153290 1249 161710
31600 1096 153831 1250 162169
31700 1098 154279 1251 162721
31800 1099 154564 1252 163436
31900 1100 155280 1254 163720
32000 1101 155940 1257 164060
32100 1101 156384 1257 164616
32200 1101 156956 1257 165044
32300 1102 157399 1259 165601
32400 1103 157808 1259 166192
32500 1104 158337 1259 166663
32600 1105 158817 1260 167183
32700 1107 159314 1264 167686
32800 1108 159801 1265 168199
32900 1109 160094 1268 168906
33000 1109 160591 1268 169409
33100 1111 161150 1268 169850
33200 1111 161608 1268 170392
33300 1113 162130 1268 170870
33400 1114 162805 1268 171195
33500 1115 163283 1269 171717
33600 1115 164012 1271 171988
33700 1116 164528 1271 172472
33800 1117 165035 1271 172965
33900 1117 165629 1271 173371
34000 1118 165970 1274 174030
34100 1121 166481 1277 174519
34200 1122 166834 1278 175166
34300 1123 167393 1279 175607
34400 1123 168098 1280 175902
34500 1126 168471 1280 176529
34600 1129 168936 1282 177064
34700 1129 169492 1283 177508
34800 1129 170140 1284 177860
34900 1130 170504 1287 178496
35000 1130 171002 1289 178998
35100 1133 171695 1292 179305
35200 1135 172276 1293 179724
35300 1135 172758 1294 180242
35400 1136 173162 1294 180838
35500 1136 173678 1295 181322
35600 1136 174164 1297 181836
35700 1136 174689 1298 182311
35800 1137 175186 1298 182814
35900 1138 175685 1300 183315
36000 1140 176183 1302 183817
36100 1141 176662 1304 184338
36200 1141 177171 1304 184829
36300 1141 177666 1304 185334
36400 1141 178154 1306 185846
36500 1141 178484 1306 186516
36600 1141 179060 1306 186940
36700 1141 179505 1306 187495
36800 1142 180020 1306 187980
36900 1142 180505 1306 188495
37000 1142 181049 1306 188951
37100 1142 181510 1308 189490
37200 1142 181978 1309 190022
37300 1145 182380 1309 190620
37400 1145 183053 1309 190947
37500 1146 183573 1311 191427
37600 1147 184032 1312 191968
37700 1149 184584 1315 192416
37800 1149 185003 1315 192997
37900 1149 185473 1315 193527
38000 1149 186119 1317 193881
38100 1149 186400 1317 194600
38200 1150 186910 1317 195090
38300 1150 187453 1318 195547
38400 1152 188001 1318 195999
38500 1154 188498 1321 196502
38600 1157 189004 1325 196996
38700 1157 189646 1329 197354
38800 1158 190129 1329 197871
38900 1159 190553 1331 198447
39000 1162 191060 1332 198940
39100 1162 191555 1334 199445
39200 1163 192024 1335 199976
39300 1164 192505 1336 200495
39400 1165 193073 1337 200927
39500 1165 193659 1337 201341
39600 1165 194107 1338 201893
39700 1166 194505 1338 202495
39800 1167 194971 1340 203029
39900 1168 195680 1342 203320
40000 1169 196145 1343 203855
40100 1169 196651 1343 204349
40200 1170 197146 1345 204854
40300 1170 197607 1345 205393
40400 1171 198095 1345 205905
40500 1171 198600 1347 206400
40600 1173 198976 1347 207024
40700 1176 199333 1348 207667
40800 1176 199768 1348 208232
40900 1176 200227 1348 208773
41000 1178 200714 1351 209286
41100 1179 201041 1352 209959
41200 1182 201757 1355 210243
41300 1183 202037 1355 210963
41400 1183 202623 1355 211377
41500 1184 203062 1356 211938
41600 1188 203541 1358 212459
41700 1188 203918 1358 213082
41800 1188 204317 1360 213683
41900 1189 204602 1360 214398
42000 1189 205042 1360 214958
42100 1191 205604 1360 215396
42200 1191 206093 1363 215907
42300 1193 206832 1365 216168
42400 1193 207291 1366 216709
42500 1193 207805 1366 217195
42600 1193 208246 1367 217754
42700 1194 208978 1369 218022
42800 1194 209449 1369 218551
42900 1194 209907 1372 219093
43000 1194 210364 1372 219636
43100 1196 210690 1373 220310
43200 1196 211315 1373 220685
43300 1197 211635 1374 221365
43400 1199 212165 1375 221835
43500 1199 212562 1375 222438
43600 1200 213057 1377 222943
43700 1201 213574 1378 223426
43800 1203 214026 1378 223974
43900 1203 214498 1380 224502
44000 1204 215019 1381 224981
44100 1204 215670 1381 225330
44200 1204 216177 1381 225823
44300 1205 216703 1382 226297
44400 1209 217234 1385 226766
44500 1210 217648 1385 227352
44600 1210 218148 1387 227852
44700 1211 218686 1387 228314
44800 1212 219395 1388 228605
44900 1212 219893 1390 229107
45000 1213 220396 1391 229604
45100 1217 220891 1394 230109
45200 1219 221376 1394 230624
45300 1219 221759 1398 231241
45400 1221 222338 1398 231662
45500 1221 222701 1399 232299
45600 1222 223181 1403 232819
45700 1223 223749 1406 233251
45800 1224 224275 1408 233725
45900 1224 224724 1409 234276
46000 1224 225252 1409 234748
46100 1224 225830 1411 235170
46200 1225 226324 1412 235676
46300 1225 227003 1412 235997
46400 1226 227475 1412 236525
46500 1227 228030 1412 236970
46600 1228 228597 1415 237403
46700 1228 229094 1416 237906
46800 1229 229631 1416 238369
46900 1230 229929 1417 239071
47000 1230 230427 1420 239573
47100 1230 231078 1420 239922
47200 1233 231678 1421 240322
47300 1233 232135 1422 240865
47400 1235 232625 1423 241375
47500 1237 232936 1425 242064
47600 1237 233488 1426 242512
47700 1241 234046 1429 242954
47800 1242 234648 1430 243352
47900 1243 235168 1431 243832
48000 1243 235768 1433 244232
48100 1246 236155 1434 244845
48200 1249 236647 1437 245353
48300 1250 237395 1439 245605
48400 1253 237887 1440 246113
48500 1256 238303 1443 246697
48600 1257 239001 1445 246999
48700 1258 239393 1447 247607
48800 1259 239885 1448 248115
48900 1262 240373 1448 248627
49000 1263 240864 1450 249136
49100 1264 241339 1452 249661
49200 1266 241845 1453 250155
49300 1268 242433 1453 250567
49400 1271 242935 1453 251065
49500 1272 243430 1458 251570
49600 1272 243904 1460 252096
49700 1272 244287 1463 252713
49800 1272 244853 1463 253147
49900 1273 245307 1464 253693
50000 1274 245804 1464 254196
50100 1275 246308 1464 254692
50200 1277 246806 1464 255194
50300 1279 247531 1464 255469
50400 1279 248107 1466 255893
50500 1280 248616 1466 256384
50600 1280 249119 1467 256881
50700 1281 249598 1468 257402
50800 1283 250016 1470 257984
50900 1283 250634 1470 258366
51000 1285 251352 1471 258648
51100 1287 251840 1474 259160
51200 1287 252468 1476 259532
51300 1290 252964 1478 260036
51400 1293 253483 1481 260517
51500 1293 254180 1481 260820
51600 1294 254787 1482 261213
51700 1294 255329 1483 261671
51800 1295 255862 1483 262138
51900 1296 256446 1483 262554
52000 1298 257131 1485 262869
52100 1298 257612 1485 263388
52200 1298 257900 1486 264100
52300 1298 258461 1486 264539
52400 1298 258796 1486 265204
52500 1299 259295 1486 265705
52600 1299 259848 1487 266152
52700 1299 260500 1487 266500
52800 1301 261078 1489 266922
52900 1301 261589 1491 267411
53000 1302 262138 1493 267862
53100 1303 262834 1493 268166
53200 1304 263331 1493 268669
53300 1304 263791 1495 269209
53400 1304 264288 1497 269712
53500 1307 264578 1497 270422
53600 1308 264990 1498 271010
53700 1308 265470 1499 271530
53800 1309 266057 1500 271943
53900 1311 266505 1501 272495
54000 1312 266983 1501 273017
54100 1314 267548 1502 273452
54200 1315 268061 1503 273939
54300 1319 268570 1504 274430
54400 1319 269011 1506 274989
54500 1321 269484 1509 275516
54600 1321 269922 1511 276078
54700 1322 270408 1511 276592
54800 1323 271036 1513 276964
54900 1323 271560 1514 277440
55000 1323 272190 1514 277810
55100 1324 272797 1515 278203
55200 1329 273231 1515 278769
55300 1330 273494 1515 279506
55400 1332 274124 1516 279876
55500 1335 274463 1519 280537
55600 1337 275031 1520 280969
55700 1340 275526 1520 281474
55800 1340 275818 1520 282182
55900 1340 276216 1522 282784
56000 1340 276602 1524 283398
56100 1340 277074 1524 283926
56200 1340 277618 1525 284382
56300 1340 278229 1526 284771
56400 1341 278731 1526 285269
56500 1342 279232 1526 285768
56600 1343 279773 1527 286227
56700 1343 280233 1528 286767
56800 1344 280954 1529 287046
56900 1344 281474 1530 287526
57000 1346 281949 1531 288051
57100 1346 282275 1531 288725
57200 1346 282625 1531 289375
57300 1348 283183 1532 289817
57400 1350 283675 1533 290325
57500 1350 284041 1534 290959
57600 1352 284465 1534 291535
57700 1352 284936 1534 292064
57800 1353 285442 1535 292558
57900 1353 285949 1539 293051
58000 1353 286444 1541 293556
58100 1355 286944 1543 294056
58200 1357 287432 1543 294568
58300 1359 287855 1547 295145
58400 1359 288294 1547 295706
58500 1361 288771 1549 296229
58600 1362 289259 1549 296741
58700 1364 289905 1552 297095
58800 1365 290484 1552 297516
58900 1365 290825 1555 298175
59000 1365 291204 1559 298796
59100 1365 291613 1559 299387
