#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.8 0.8]
#! SET kt 1.0
43000 1270 212370 1396 217630
43100 1273 212871 1397 218129
43200 1273 213351 1397 218649
43300 1274 213872 1397 219128
43400 1276 214341 1399 219659
43500 1277 214778 1399 220222
43600 1278 215250 1402 220750
43700 1281 215724 1403 221276
43800 1282 216168 1404 221832
43900 1284 216777 1404 222223
44000 1285 217282 1406 222718
44100 1285 217755 1406 223245
44200 1285 218260 1406 223740
44300 1288 218647 1407 224353
44400 1289 219012 1407 224988
44500 1289 219451 1410 225549
44600 1290 220067 1410 225933
44700 1292 220590 1412 226410
44800 1292 221025 1413 226975
44900 1292 221420 1416 227580
45000 1293 222028 1417 227972
45100 1293 222548 1417 228452
45200 1294 223129 1417 228871
45300 1295 223588 1417 229412
45400 1296 224134 1417 229866
45500 1296 224710 1418 230290
45600 1298 225317 1418 230683
45700 1299 225578 1420 231422
45800 1301 226267 1423 231733
45900 1302 226832 1425 232168
46000 1303 227227 1425 232773
46100 1304 227737 1425 233263
46200 1305 228280 1426 233720
46300 1305 228767 1427 234233
46400 1305 229319 1430 234681
46500 1305 229784 1430 235216
46600 1305 230312 1431 235688
46700 1307 230864 1431 236136
46800 1307 231285 1433 236715
46900 1307 231812 1435 237188
47000 1308 232319 1437 237681
47100 1310 232760 1437 238240
47200 1312 233447 1439 238553
47300 1312 233857 1440 239143
47400 1313 234350 1440 239650
47500 1315 234831 1442 240169
47600 1316 235274 1443 240726
47700 1322 235957 1449 241043
47800 1324 236632 1449 241368
47900 1329 237175 1450 241825
48000 1332 237642 1452 242358
48100 1333 238200 1454 242800
48200 1336 238710 1458 243290
48300 1337 239255 1460 243745
48400 1339 239559 1461 244441
48500 1340 239928 1461 245072
48600 1341 240383 1462 245617
48700 1342 240959 1463 246041
48800 1343 241525 1465 246475
48900 1344 242054 1465 246946
49000 1347 242600 1465 247400
49100 1347 243054 1466 247946
49200 1347 243605 1466 248395
49300 1348 243906 1467 249094
49400 1349 244452 1472 249548
49500 1350 244937 1472 250063
49600 1352 245322 1474 250678
49700 1352 245580 1478 251420
49800 1357 246070 1480 251930
49900 1360 246514 1483 252486
50000 1361 246874 1484 253126
50100 1362 247311 1487 253689
50200 1365 247920 1487 254080
50300 1366 248538 1492 254462
50400 1368 249102 1492 254898
50500 1368 249622 1493 255378
50600 1368 250156 1494 255844
50700 1370 250635 1496 256365
50800 1371 251116 1496 256884
50900 1371 251534 1496 257466
51000 1373 252043 1499 257957
51100 1375 252531 1499 258469
51200 1377 253067 1501 258933
51300 1380 253482 1503 259518
51400 1381 253871 1507 260129
51500 1381 254411 1509 260589
51600 1382 254854 1511 261146
51700 1383 255284 1511 261716
51800 1383 255891 1512 262109
