#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.3 0.3]
#! SET kt 1.0
48700 2774 238553 3065 248447
48800 2776 239032 3067 248968
48900 2780 239524 3069 249476
49000 2788 240002 3077 249998
49100 2789 240462 3079 250538
49200 2794 241050 3084 250950
49300 2803 241556 3090 251444
49400 2808 242138 3091 251862
49500 2814 242747 3102 252253
49600 2821 243293 3102 252707
49700 2824 243757 3105 253243
49800 2827 244226 3106 253774
49900 2830 244753 3109 254247
50000 2837 245221 3113 254779
50100 2840 245760 3117 255240
50200 2844 246237 3119 255763
50300 2845 246727 3122 256273
50400 2850 247160 3128 256840
50500 2854 247755 3129 257245
50600 2858 248352 3132 257648
50700 2869 248839 3142 258161
50800 2876 249412 3145 258588
50900 2884 249871 3151 259129
51000 2889 250503 3154 259497
51100 2891 251042 3158 259958
51200 2895 251596 3160 260404
51300 2908 252023 3169 260977
51400 2914 252574 3174 261426
51500 2919 253185 3176 261815
51600 2925 253665 3181 262335
51700 2927 254098 3184 262902
51800 2928 254601 3184 263399
51900 2929 255002 3187 263998
52000 2937 255419 3187 264581
52100 2941 255967 3188 265033
52200 2944 256514 3191 265486
52300 2947 257012 3196 265988
52400 2949 257545 3200 266455
52500 2956 258065 3204 266935
52600 2959 258501 3211 267499
52700 2964 258974 3214 268026
52800 2967 259539 3217 268461
52900 2975 260018 3220 268982
53000 2976 260534 3224 269466
53100 2979 261081 3229 269919
53200 2984 261489 3233 270511
53300 2990 261901 3234 271099
53400 2991 262430 3236 271570
53500 2997 262899 3242 272101
53600 3001 263341 3245 272659
53700 3006 263858 3250 273142
53800 3012 264343 3255 273657
53900 3017 264809 3261 274191
54000 3019 265289 3268 274711
54100 3021 265825 3272 275175
54200 3027 266293 3276 275707
54300 3031 266828 3282 276172
54400 3034 267324 3288 276676
54500 3043 267954 3291 277046
54600 3048 268424 3294 277576
54700 3052 268788 3301 278212
54800 3064 269322 3305 278678
54900 3068 269826 3311 279174
55000 3078 270453 3321 279547
55100 3084 270938 3331 280062
55200 3091 271394 3336 280606
55300 3094 271862 3342 281138
55400 3096 272321 3347 281679
55500 3097 272904 3356 282096
55600 3099 273288 3358 282712
55700 3100 273901 3359 283099
55800 3102 274462 3365 283538
55900 3104 275026 3369 283974
56000 3106 275541 3370 284459
56100 3114 276005 3374 284995
56200 3117 276532 3377 285468
56300 3121 276949 3379 286051
56400 3125 277345 3383 286655
56500 3128 277797 3386 287203
56600 3132 278231 3391 287769
56700 3136 278742 3398 288258
56800 3139 279240 3402 288760
56900 3148 279726 3410 289274
57000 3150 280230 3415 289770
57100 3154 280678 3419 290322
57200 3161 281213 3426 290787
57300 3167 281679 3431 291321
57400 3170 282208 3440 291792
57500 3177 282599 3444 292401
57600 3181 283006 3447 292994
57700 3183 283586 3450 293414
57800 3188 284093 3456 293907
57900 3192 284656 3461 294344
58000 3194 285195 3467 294805
58100 3197 285644 3472 295356
58200 3200 286225 3474 295775
58300 3204 286712 3478 296288
58400 3206 287231 3485 296769
58500 3209 287740 3491 297260
58600 3217 288288 3491 297712
58700 3224 288737 3496 298263
58800 3226 289203 3497 298797
58900 3228 289669 3500 299331
59000 3230 290110 3507 299890
59100 3233 290618 3508 300382
59200 3238 291244 3515 300756
59300 3239 291791 3518 301209
59400 3245 292345 3523 301655
59500 3248 292742 3525 302258
59600 3251 293306 3532 302694
59700 3251 293825 3533 303175
59800 3255 294314 3534 303686
59900 3260 294783 3539 304217
60000 3265 295306 3543 304694
60100 3267 295895 3545 305105
60200 3272 296242 3549 305758
60300 3273 296663 3553 306337
60400 3276 297180 3558 306820
60500 3280 297639 3570 307361
60600 3284 298226 3574 307774
60700 3286 298759 3581 308241
60800 3292 299315 3587 308685
60900 3297 299828 3593 309172
61000 3305 300339 3594 309661
61100 3308 300780 3598 310220
61200 3315 301233 3603 310767
61300 3317 301701 3605 311299
61400 3318 302149 3608 311851
61500 3322 302673 3610 312327
61600 3330 303034 3613 312966
61700 3335 303514 3622 313486
61800 3336 303954 3624 314046
61900 3342 304440 3632 314560
62000 3349 304975 3636 315025
62100 3351 305569 3641 315431
62200 3354 306157 3643 315843
62300 3363 306672 3648 316328
62400 3369 307156 3654 316844
62500 3373 307492 3657 317508
62600 3378 307908 3660 318092
62700 3383 308467 3665 318533
62800 3386 308998 3670 319002
62900 3388 309433 3674 319567
63000 3400 310005 3677 319995
63100 3408 310470 3683 320530
63200 3412 310991 3690 321009
63300 3415 311466 3691 321534
63400 3420 312065 3695 321935
63500 3426 312564 3699 322436
63600 3434 313127 3703 322873
63700 3436 313597 3707 323403
63800 3437 314102 3711 323898
63900 3443 314680 3716 324320
64000 3451 315160 3721 324840
64100 3456 315671 3726 325329
64200 3458 316197 3731 325803
64300 3465 316659 3736 326341
64400 3469 317134 3745 326866
64500 3478 317605 3752 327395
64600 3482 318128 3756 327872
64700 3492 318661 3762 328339
64800 3495 319196 3767 328804
64900 3498 319666 3770 329334
65000 3503 320159 3771 329841
65100 3506 320599 3774 330401
65200 3509 321105 3779 330895
65300 3517 321606 3782 331394
65400 3521 322179 3793 331821
65500 3525 322753 3798 332247
65600 3527 323262 3803 332738
65700 3534 323777 3804 333223
65800 3541 324293 3811 333707
65900 3546 324838 3814 334162
66000 3552 325233 3819 334767
66100 3555 325775 3831 335225
66200 3561 326275 3841 335725
66300 3565 326761 3845 336239
66400 3571 327255 3848 336745
66500 3579 327810 3850 337190
66600 3585 328400 3855 337600
66700 3589 328897 3857 338103
66800 3593 329480 3863 338520
66900 3595 330003 3864 338997
67000 3601 330475 3867 339525
67100 3604 330890 3868 340110
67200 3607 331437 3868 340563
67300 3608 331897 3869 341103
67400 3613 332431 3874 341569
67500 3620 332907 3879 342093
67600 3624 333462 3882 342538
67700 3629 334174 3892 342826
67800 3635 334647 3897 343353
67900 3641 335187 3903 343813
68000 3642 335674 3908 344326
68100 3644 336180 3913 344820
68200 3644 336634 3915 345366
68300 3650 337178 3920 345822
68400 3656 337601 3927 346399
68500 3661 338075 3933 346925
68600 3665 338670 3935 347330
68700 3668 339161 3945 347839
68800 3677 339606 3950 348394
68900 3679 340155 3952 348845
69000 3682 340645 3956 349355
69100 3686 341074 3964 349926
69200 3690 341573 3970 350427
69300 3692 342107 3973 350893
69400 3699 342628 3977 351372
69500 3702 343098 3979 351902
69600 3704 343569 3990 352431
69700 3706 343941 3994 353059
69800 3709 344510 4000 353490
69900 3710 345022 4006 353978
70000 3713 345562 4009 354438
70100 3717 345879 4014 355121
70200 3719 346297 4024 355703
70300 3725 346880 4029 356120
70400 3731 347446 4033 356554
70500 3736 347960 4036 357040
70600 3739 348417 4040 357583
70700 3744 348969 4047 358031
70800 3748 349398 4053 358602
70900 3750 349971 4059 359029
71000 3758 350458 4068 359542
71100 3764 350918 4071 360082
71200 3765 351428 4074 360572
71300 3772 351966 4079 361034
71400 3773 352559 4080 361441
71500 3775 353148 4088 361852
71600 3778 353608 4090 362392
71700 3782 354068 4095 362932
71800 3785 354561 4105 363439
71900 3787 355063 4107 363937
72000 3794 355496 4113 364504
72100 3797 355876 4116 365124
72200 3804 356341 4121 365659
72300 3811 356861 4122 366139
72400 3815 357355 4126 366645
72500 3819 357995 4132 367005
72600 3823 358581 4136 367419
72700 3825 359051 4142 367949
72800 3832 359415 4148 368585
72900 3833 359896 4151 369104
73000 3837 360433 4154 369567
73100 3840 360905 4159 370095
73200 3840 361395 4159 370605
73300 3842 361878 4165 371122
73400 3848 362423 4169 371577
73500 3853 362964 4173 372036
73600 3855 363462 4173 372538
73700 3862 363986 4179 373014
73800 3864 364550 4181 373450
73900 3870 365056 4187 373944
74000 3880 365470 4194 374530
74100 3884 366052 4197 374948
74200 3889 366569 4202 375431
74300 3895 367089 4203 375911
74400 3908 367483 4210 376517
74500 3911 367906 4213 377094
74600 3914 368406 4220 377594
74700 3918 369021 4222 377979
74800 3923 369498 4230 378502
74900 3929 370053 4237 378947
75000 3933 370585 4240 379415
75100 3937 371078 4244 379922
75200 3943 371586 4250 380414
75300 3948 372049 4251 380951
75400 3950 372580 4256 381420
75500 3957 373130 4260 381870
75600 3959 373709 4265 382291
75700 3963 374288 4272 382712
75800 3965 374850 4277 383150
75900 3967 375305 4280 383695
76000 3973 375815 4285 384185
76100 3979 376336 4289 384664
76200 3984 376874 4294 385126
76300 3990 377347 4300 385653
76400 3995 377833 4303 386167
76500 3995 378399 4308 386601
76600 4002 378935 4312 387065
76700 4005 379393 4316 387607
76800 4010 379875 4324 388125
76900 4021 380367 4327 388633
77000 4029 380802 4330 389198
77100 4036 381332 4334 389668
77200 4038 381828 4335 390172
77300 4043 382308 4341 390692
77400 4052 382870 4348 391130
77500 4054 383407 4350 391593
77600 4058 383747 4358 392253
77700 4064 384256 4363 392744
77800 4069 384715 4370 393285
77900 4069 385178 4374 393822
78000 4071 385751 4377 394249
78100 4075 386382 4383 394618
78200 4081 387046 4387 394954
78300 4084 387540 4393 395460
78400 4091 387950 4395 396050
78500 4100 388365 4401 396635
78600 4108 388899 4402 397101
78700 4110 389499 4407 397501
78800 4113 390029 4415 397971
78900 4118 390536 4419 398464
79000 4121 391124 4425 398876
79100 4127 391626 4429 399374
79200 4135 392099 4434 399901
79300 4140 392486 4439 400514
79400 4145 393067 4445 400933
79500 4146 393527 4446 401473
79600 4148 394030 4453 401970
79700 4153 394571 4457 402429
79800 4157 394948 4460 403052
79900 4162 395440 4466 403560
80000 4169 395881 4471 404119
80100 4171 396382 4472 404618
80200 4174 396941 4474 405059
80300 4180 397426 4478 405574
80400 4185 397885 4484 406115
80500 4192 398417 4486 406583
80600 4199 398951 4489 407049
80700 4202 399454 4493 407546
80800 4209 400047 4498 407953
80900 4211 400590 4502 408410
81000 4215 401126 4506 408874
81100 4220 401648 4507 409352
81200 4223 402159 4512 409841
81300 4228 402720 4519 410280
81400 4234 403308 4524 410692
81500 4237 403818 4528 411182
81600 4246 404407 4531 411593
81700 4248 404930 4534 412070
81800 4251 405403 4536 412597
81900 4253 405873 4541 413127
82000 4257 406320 4541 413680
82100 4259 406725 4547 414275
82200 4260 407089 4551 414911
82300 4267 407598 4559 415402
82400 4269 408085 4563 415915
82500 4275 408680 4569 416320
82600 4279 409176 4571 416824
82700 4279 409762 4576 417238
82800 4282 410196 4576 417804
82900 4288 410706 4579 418294
83000 4295 411264 4585 418736
83100 4299 411729 4587 419271
83200 4303 412111 4590 419889
83300 4312 412616 4599 420384
83400 4322 413139 4603 420861
83500 4326 413613 4604 421387
83600 4330 414189 4613 421811
83700 4333 414558 4619 422442
83800 4338 415041 4626 422959
83900 4344 415557 4630 423443
84000 4350 416206 4630 423794
84100 4355 416699 4636 424301
84200 4360 417178 4641 424822
84300 4366 417776 4650 425224
84400 4367 418191 4653 425809
84500 4371 418741 4656 426259
84600 4377 419218 4665 426782
84700 4377 419667 4666 427333
84800 4381 420186 4667 427814
84900 4386 420716 4669 428284
85000 4389 421228 4673 428772
85100 4391 421744 4678 429256
85200 4393 422260 4683 429740
85300 4394 422759 4687 430241
85400 4397 423334 4693 430666
85500 4398 423875 4699 431125
85600 4413 424388 4705 431612
85700 4418 424885 4713 432115
85800 4425 425377 4715 432623
85900 4428 425814 4718 433186
86000 4436 426336 4725 433664
86100 4439 426914 4730 434086
86200 4439 427300 4730 434700
86300 4445 427823 4734 435177
86400 4449 428377 4739 435623
86500 4452 428854 4748 436146
86600 4455 429358 4752 436642
86700 4459 429904 4757 437096
86800 4462 430438 4762 437562
86900 4470 430945 4766 438055
87000 4475 431427 4771 438573
87100 4482 431952 4775 439048
87200 4486 432453 4777 439547
87300 4488 433027 4783 439973
87400 4490 433587 4785 440413
87500 4495 434089 4791 440911
87600 4495 434614 4793 441386
87700 4498 435078 4795 441922
87800 4506 435588 4802 442412
87900 4514 436058 4805 442942
88000 4515 436553 4805 443447
88100 4519 437137 4807 443863
88200 4521 437712 4815 444288
88300 4522 438264 4820 444736
88400 4522 438679 4825 445321
88500 4526 439158 4828 445842
88600 4529 439640 4831 446360
88700 4535 440155 4837 446845
88800 4536 440742 4844 447258
88900 4542 441208 4852 447792
89000 4546 441667 4852 448333
89100 4551 442241 4855 448759
89200 4558 442620 4861 449380
89300 4560 443210 4862 449790
89400 4563 443719 4872 450281
89500 4567 444069 4878 450931
89600 4572 444509 4884 451491
89700 4578 444944 4890 452056
89800 4579 445447 4890 452553
89900 4580 446021 4895 452979
90000 4583 446566 4902 453434
90100 4586 447120 4903 453880
90200 4587 447656 4904 454344
90300 4591 448204 4912 454796
90400 4597 448809 4916 455191
90500 4603 449355 4920 455645
90600 4607 449795 4927 456205
90700 4608 450369 4934 456631
90800 4614 450892 4937 457108
90900 4617 451372 4941 457628
91000 4622 451873 4941 458127
91100 4630 452392 4948 458608
91200 4636 453041 4958 458959
91300 4643 453499 4961 459501
91400 4646 454014 4968 459986
91500 4653 454589 4977 460411
91600 4656 455041 4980 460959
91700 4662 455560 4986 461440
91800 4665 456017 4990 461983
91900 4668 456462 4994 462538
92000 4671 456991 5002 463009
92100 4676 457469 5002 463531
92200 4679 458126 5003 463874
92300 4683 458598 5008 464402
92400 4685 459149 5011 464851
