#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.65 0.65]
#! SET kt 1.0
32500 2029 159984 2082 165016
32600 2030 160476 2085 165524
32700 2034 160993 2088 166007
32800 2043 161465 2093 166535
32900 2046 161855 2100 167145
33000 2050 162320 2105 167680
33100 2058 162798 2110 168202
33200 2059 163346 2114 168654
33300 2065 163891 2119 169109
33400 2068 164277 2122 169723
33500 2072 164826 2125 170174
33600 2079 165259 2131 170741
33700 2085 165743 2136 171257
33800 2091 166237 2144 171763
33900 2097 166794 2155 172206
34000 2098 167221 2159 172779
34100 2105 167622 2163 173378
34200 2112 168137 2169 173863
34300 2113 168554 2174 174446
34400 2115 169124 2178 174876
34500 2118 169585 2178 175415
34600 2123 170064 2184 175936
34700 2127 170497 2188 176503
34800 2134 171013 2189 176987
34900 2138 171491 2196 177509
35000 2144 171851 2204 178149
35100 2144 172275 2209 178725
35200 2146 172748 2209 179252
35300 2156 173233 2214 179767
35400 2162 173742 2219 180258
35500 2170 174285 2226 180715
35600 2179 174783 2232 181217
35700 2181 175279 2237 181721
35800 2182 175728 2244 182272
35900 2185 176172 2247 182828
36000 2187 176652 2253 183348
36100 2193 177164 2254 183836
36200 2197 177687 2256 184313
36300 2197 178168 2261 184832
36400 2201 178634 2265 185366
36500 2205 179110 2270 185890
36600 2212 179644 2276 186356
36700 2216 180162 2281 186838
36800 2217 180690 2284 187310
36900 2223 181280 2288 187720
37000 2226 181697 2291 188303
37100 2230 182210 2293 188790
37200 2234 182685 2303 189315
37300 2239 183166 2309 189834
37400 2241 183729 2312 190271
37500 2251 184300 2320 190700
37600 2255 184697 2322 191303
37700 2257 185240 2329 191760
37800 2262 185802 2335 192198
37900 2265 186338 2337 192662
38000 2268 186831 2341 193169
38100 2277 187317 2350 193683
38200 2283 187772 2355 194228
38300 2287 188328 2357 194672
38400 2289 188909 2360 195091
38500 2293 189410 2370 195590
38600 2297 189839 2371 196161
38700 2304 190376 2375 196624
38800 2313 190898 2381 197102
38900 2318 191379 2388 197621
39000 2324 191917 2391 198083
39100 2327 192475 2400 198525
39200 2335 192988 2404 199012
39300 2338 193506 2408 199494
39400 2342 193990 2410 200010
39500 2348 194411 2415 200589
39600 2349 194838 2420 201162
39700 2351 195280 2424 201720
39800 2355 195792 2426 202208
39900 2357 196393 2431 202607
40000 2365 196881 2435 203119
40100 2376 197316 2441 203684
40200 2381 197806 2448 204194
40300 2387 198228 2455 204772
40400 2400 198763 2459 205237
40500 2401 199249 2464 205751
40600 2410 199718 2467 206282
40700 2415 200260 2471 206740
40800 2421 200587 2472 207413
40900 2426 201028 2476 207972
41000 2427 201557 2481 208443
41100 2428 202042 2485 208958
41200 2430 202629 2486 209371
41300 2434 203096 2489 209904
41400 2438 203524 2496 210476
41500 2444 203941 2499 211059
41600 2452 204447 2507 211553
41700 2454 204919 2509 212081
41800 2462 205388 2513 212612
41900 2464 205958 2518 213042
42000 2467 206441 2523 213559
42100 2472 207004 2524 213996
42200 2473 207521 2534 214479
42300 2478 208072 2539 214928
42400 2486 208545 2549 215455
42500 2489 209045 2550 215955
42600 2496 209576 2555 216424
42700 2506 210184 2562 216816
42800 2513 210758 2564 217242
42900 2519 211198 2567 217802
43000 2531 211582 2572 218418
43100 2539 212081 2575 218919
43200 2543 212552 2581 219448
43300 2550 212982 2588 220018
43400 2553 213515 2593 220485
43500 2555 214013 2595 220987
43600 2556 214504 2598 221496
43700 2562 215009 2605 221991
43800 2567 215523 2609 222477
43900 2571 215977 2612 223023
44000 2578 216408 2617 223592
44100 2590 216958 2622 224042
44200 2593 217463 2632 224537
44300 2599 217953 2636 225047
44400 2603 218478 2640 225522
44500 2612 218984 2646 226016
44600 2614 219530 2647 226470
44700 2619 219962 2652 227038
44800 2625 220480 2653 227520
44900 2628 220988 2657 228012
45000 2634 221417 2661 228583
45100 2636 221937 2666 229063
45200 2639 222398 2670 229602
45300 2645 222911 2674 230089
45400 2649 223450 2676 230550
45500 2654 223879 2679 231121
45600 2660 224397 2685 231603
45700 2665 224887 2691 232113
45800 2670 225445 2696 232555
45900 2676 225900 2698 233100
46000 2687 226333 2701 233667
46100 2694 226680 2709 234320
46200 2700 227171 2713 234829
46300 2706 227638 2718 235362
46400 2707 228209 2718 235791
46500 2709 228695 2728 236305
46600 2715 229207 2733 236793
46700 2720 229597 2736 237403
46800 2723 229900 2739 238100
46900 2729 230334 2743 238666
47000 2738 230768 2747 239232
47100 2743 231222 2749 239778
47200 2746 231713 2753 240287
47300 2754 232208 2763 240792
47400 2759 232655 2766 241345
47500 2761 233166 2771 241834
